CustomerID,Recency,Frequency,Monetary,Predicted_CLV,CLV_Segment,Country
12346.0,326,1,77183.6,75860.06539999989,High,United Kingdom
12347.0,2,7,4310.0,4309.389099999997,High,Iceland
12348.0,75,4,1797.24,1797.2364999999988,High,Finland
12349.0,19,1,1757.55,1758.5355,High,Italy
12350.0,310,1,334.4,334.42340000000047,Low,Norway
12352.0,36,8,2506.04,2505.3990000000026,High,Norway
12353.0,204,1,89.0,89.105,Low,Bahrain
12354.0,232,1,1079.4,1079.548299999999,Medium,Spain
12355.0,214,1,459.4,459.2630000000005,Medium,Bahrain
12356.0,23,3,2811.43,2811.914099999997,High,Portugal
12357.0,33,1,6207.67,6205.917300000001,High,Switzerland
12358.0,2,2,1168.06,1167.5769,Medium,Austria
12359.0,58,4,6372.58,6365.485799999999,High,Cyprus
12360.0,52,3,2662.06,2661.884199999998,High,Austria
12361.0,287,1,189.9,190.01579999999996,Low,Belgium
12362.0,3,10,5226.23,5225.546999999994,High,Belgium
12363.0,110,2,552.0,551.7424000000002,Medium,Unspecified
12364.0,8,4,1313.1,1313.1259000000018,High,Belgium
12365.0,291,2,641.38,641.2830999999991,Medium,Cyprus
12367.0,4,1,168.9,168.81609999999984,Low,Denmark
12370.0,51,4,3545.69,3545.2261000000017,High,Cyprus
12370.0,51,4,3545.69,3545.2261000000017,High,Austria
12371.0,45,2,1887.96,1887.0315999999991,High,Switzerland
12372.0,72,3,1298.04,1298.1248999999984,High,Denmark
12373.0,311,1,364.6,364.62989999999957,Low,Austria
12374.0,25,1,742.9300000000001,743.0189999999998,Medium,Austria
12375.0,11,2,457.5,457.59380000000004,Medium,Finland
12377.0,315,2,1628.12,1627.994399999999,High,Switzerland
12378.0,130,1,4008.62,4008.5233999999964,High,Switzerland
12379.0,82,2,852.24,852.4311000000005,Medium,Belgium
12380.0,22,4,2724.81,2727.3180999999977,High,Belgium
12381.0,5,5,1845.31,1844.5681999999986,High,Norway
12383.0,185,5,1850.56,1850.7166999999986,High,Belgium
12384.0,29,2,585.27,585.1347999999991,Medium,Switzerland
12386.0,338,2,401.9,401.70665000000065,Medium,Australia
12388.0,16,6,2780.66,2780.9294999999997,High,Australia
12390.0,80,1,549.84,549.8443999999992,Medium,Belgium
12391.0,22,1,460.89,460.79239999999976,Medium,Cyprus
12393.0,72,4,1582.6000000000001,1581.7452000000008,High,Australia
12394.0,64,2,1272.48,1272.0036999999998,High,Belgium
12394.0,64,2,1272.48,1272.0036999999998,High,Denmark
12395.0,19,12,3018.63,3018.185300000001,High,Belgium
12397.0,36,2,2409.9,2410.489899999999,High,Belgium
12398.0,46,1,1635.6599999999999,1635.8784000000014,High,Switzerland
12399.0,119,4,1108.65,1109.268499999999,Medium,Belgium
12401.0,303,1,84.3,84.52680000000004,Low,Belgium
12402.0,323,1,225.6,225.6205000000001,Low,Belgium
12403.0,50,1,427.7,427.7178999999998,Medium,Denmark
12405.0,149,1,1710.39,1709.8182000000018,High,Finland
12406.0,22,2,3415.3,3411.323099999996,High,Denmark
12407.0,50,5,1708.1200000000001,1708.2778999999996,High,Belgium
12408.0,33,5,2888.55,2887.321299999996,High,Belgium
12409.0,79,3,11072.67,11103.425200000012,High,Switzerland
12410.0,309,2,693.3299999999999,693.3771000000005,Medium,Switzerland
12412.0,75,3,1226.88,1226.5796000000005,High,Denmark
12413.0,67,3,758.1,757.8912999999998,Medium,France
12414.0,217,3,562.41,562.562400000001,Medium,Austria
12415.0,24,21,124914.53,130329.02819999994,High,Australia
12417.0,3,9,3649.1,3648.939699999995,High,Belgium
12417.0,3,9,3649.1,3648.939699999995,High,Spain
12418.0,113,1,668.58,668.509500000001,Medium,Switzerland
12420.0,64,1,600.39,600.2433999999997,Medium,Cyprus
12421.0,16,4,807.04,807.0675000000001,Medium,Spain
12422.0,96,3,803.5600000000001,803.6141999999991,Medium,Australia
12422.0,96,3,803.5600000000001,803.6141999999991,Medium,Switzerland
12423.0,1,8,1859.31,1859.2476999999992,High,Belgium
12424.0,163,2,1760.96,1760.7090000000003,High,Australia
12425.0,78,1,777.2,777.1963599999987,Medium,Portugal
12426.0,195,1,582.73,582.6269000000003,Medium,Germany
12427.0,22,3,825.8,825.8154000000006,Medium,Germany
12428.0,26,9,7956.46,7951.059999999993,High,Finland
12429.0,9,4,3750.4,3751.036400000004,High,Denmark
12429.0,9,4,3750.4,3751.036400000004,High,Austria
12430.0,43,1,256.4,256.3732000000002,Low,Norway
12431.0,36,15,6487.45,6481.717999999996,High,Australia
12431.0,36,15,6487.45,6481.717999999996,High,Belgium
12432.0,43,5,5059.32,5062.9027000000015,High,Norway
12433.0,1,7,13375.87,13351.855100000012,High,Norway
12434.0,85,2,806.14,806.2509000000001,Medium,Australia
12435.0,80,2,7829.89,7833.165400000002,High,Denmark
12436.0,100,1,509.01,508.9119000000004,Medium,Norway
12437.0,2,18,4951.41,4952.457199999995,High,France
12438.0,14,2,2906.85,2909.338700000001,High,Norway
